accomplish,osiągnąć,opóźnić,osłabić,zaniechać
adapt,dostosować,przeciwstawić,zatrzymać,zablokować
afford,pozwolić sobie,zabronić,odmówić,zrezygnować
awkward,niezręczny,gładki,swobodny,naturalny
boost,wzmocnić,osłabić,zmniejszyć,zahamować
boundary,granica,centrum,wnętrze,rdzeń
burden,ciężar,ulga,pomoc,wsparcie
coincidence,zbieg okoliczności,plan,zamiar,strategia
collaborate,współpracować,rywalizować,walczyć,konkurować
commitment,zobowiązanie,unik,wymówka,wycofanie
compromise,kompromis,upór,nieustępliwość,nieugięcie
concern,troska,obojętność,beztroska,zadowolenie
confidence,pewność siebie,nieśmiałość,wątpliwość,niepewność
contribute,wnieść wkład,przeszkodzić,utrudnić,zakłócić
crucial,kluczowy,nieistotny,poboczny,marginalny
deadline,termin,początek,opóźnienie,nieskończoność
decline,odmówić,zaakceptować,przystać,zgodzić się
defend,bronić,atakować,oskarżać,potępiać
delay,opóźnić,przyspieszyć,wyprzedzić,wyprzedzać
deliver,dostarczyć,zatrzymać,ukryć,zataić
demanding,wymagający,prosty,łatwy,banalny
determine,ustalić,pomylić,zmieszać,zdezorientować
discourage,zniechęcać,zachęcać,wspierać,motywować
dismiss,odrzucić,przyjąć,zaakceptować,docenić
distinguish,odróżnić,pomylić,zmieszać,poplątać
disturb,niepokoić,uspokoić,ukoić,złagodzić
diverse,zróżnicowany,jednolity,jednakowy,identyczny
doubt,wątpić,ufać,wierzyć,polegać
embarrassed,zawstydzony,pewny siebie,dumny,zarozumiały
emphasize,podkreślać,ignorować,pomijać,lekceważyć
encourage,zachęcać,zniechęcać,odwodzić,odradzać
enhance,ulepszyć,pogorszyć,zaszkodzić,zepsuć
evaluate,oceniać,ignorować,lekceważyć,pomijać
eventually,ostatecznie,natychmiast,teraz,zaraz
evidence,dowód,spekulacja,przypuszczenie,domysł
exaggerate,przesadzać,umniejszać,minimalizować,bagatelizować
exceed,przekraczać,nie dociągać,nie wystarczać,zawodzić
excessive,nadmierny,niewystarczający,skąpy,znikomy
exchange,wymienić,zatrzymać,zachować,ukryć
exclude,wykluczyć,dołączyć,zawrzeć,włączyć
exhausted,wyczerpany,rześki,pełen energii,wypoczęty
expand,rozszerzać,kurczyć,zmniejszać,redukować
experience,doświadczenie,ignorancja,niewiedza,naiwność
extremely,niezwykle,normalnie,przeciętnie,typowo
familiar,znajomy,obcy,nieznany,nowy
fascinating,fascynujący,nudny,monotonny,nieciekawy
fault,wina,zasługa,zaleta,cnota
flexible,elastyczny,sztywny,nieugięty,nieustępliwy
fulfilling,satysfakcjonujący,rozczarowujący,przygnębiający,zniechęcający
genuine,autentyczny,fałszywy,sztuczny,podrobiony
gradually,stopniowo,nagle,gwałtownie,błyskawicznie
grateful,wdzięczny,niewdzięczny,roszczeniowy,pretensjonalny
hesitate,wahać się,decydować,postanawiać,rozstrzygać
highlight,podkreślić,ukryć,zatuszować,zamaskować
hindsight,retrospekcja,przewidywanie,prognoza,przepowiednia
humble,skromny,arogancki,zarozumiały,wyniosły
ignore,ignorować,zauważać,dostrzegać,obserwować
impact,wpływ,obojętność,neutralność,brak znaczenia
imply,sugerować,zaprzeczać,negować,wykluczać
inspire,inspirować,zniechęcać,demotywować,przygnębiać
invest,inwestować,marnować,trwonić,roztrwaniać
involve,angażować,wykluczać,izolować,odsuwać
lack,brak,nadmiar,obfitość,nadwyżka
launch,rozpocząć,zakończyć,zatrzymać,wstrzymać
maintain,utrzymywać,zaniedbywać,porzucać,niszczyć
majority,większość,mniejszość,niewielka część,ułamek
manage,zarządzać,poddać się,zawieść,zaniedbać
mature,dojrzały,niedojrzały,dziecinny,infantylny
merely,jedynie,całkowicie,w pełni,gruntownie
misunderstanding,nieporozumienie,zrozumienie,porozumienie,zgoda
modest,skromny,wystawny,ekstrawagancki,przesadny
mutual,wzajemny,jednostronny,niezrównoważony,nieodwzajemniony
nevertheless,niemniej jednak,dlatego,z tego powodu,w związku z tym
numerous,liczny,rzadki,pojedynczy,odosobniony
occasionally,okazjonalnie,zawsze,nieustannie,ciągle
outcome,wynik,początek,wprowadzenie,zalążek
outstanding,wybitny,przeciętny,mierny,słaby
overcome,przezwyciężyć,poddać się,ulec,skapitulować
overlook,przeoczyć,zauważyć,dostrzec,wychwycić
overwhelm,przytłoczyć,ułatwić,uprościć,ułatwić
patience,cierpliwość,niecierpliwość,pośpiech,zniecierpliwienie
perspective,perspektywa,ograniczenie,zawężenie,jednowymiarowość
persuade,przekonać,zniechęcić,odwieść,zrazić
postpone,odłożyć,przyspieszyć,wyprzedzić,przyspieszać
precise,precyzyjny,niedokładny,nieprecyzyjny,mglisty
predict,przewidzieć,zaskoczyć,zdumieć,zadziwić
pressure,nacisk,ulga,odpoczynek,odprężenie
prevent,zapobiec,dopuścić,umożliwić,ułatwić
priority,priorytet,błahostka,drobnostka,nieistotność
profound,głęboki,płytki,powierzchowny,trywialny
promote,promować,ukrywać,tłumić,zatajać
proof,dowód,podejrzenie,przypuszczenie,domysł
proposal,propozycja,odmowa,negacja,zaprzeczenie
pursue,dążyć,zrezygnować,porzucić,odpuścić
rapid,szybki,powolny,ospały,ociężały
reaction,reakcja,bierność,obojętność,pasywność
realistic,realistyczny,fantastyczny,wyimaginowany,nierealny
reasonable,rozsądny,absurdalny,niedorzeczny,bezsensowny
reassure,zapewnić,zniechęcić,rozczarować,zdemotywować
recall,przypomnieć,zapomnieć,ominąć,przeoczyć
recover,wyzdrowiećz,chorować,niedomagać,cierpieć
reduce,zmniejszyć,zwiększyć,rozszerzyć,powiększyć
redundant,zbędny,niezbędny,kluczowy,istotny
reflect,zastanawiać się,ignorować,lekceważyć,zaniedbywać
regardless,bez względu na,z powodu,ze względu na,z racji
regret,żałować,cieszyć się,radować się,być zadowolonym
relevant,istotny,nieistotny,błahy,nieznaczący
reliable,niezawodny,zawodny,niesolidny,niepewny
reluctant,niechętny,chętny,ochoczy,entuzjastyczny
remarkable,niezwykły,zwyczajny,typowy,pospolity
remind,przypominać,zapominać,wymazywać,usuwać
remote,odległy,bliski,sąsiedni,przyległy
replace,zastąpić,zachować,utrzymać,zostać przy
resent,czuć urazę,wybaczać,przebaczać,odpuszczać
resistant,odporny,podatny,wrażliwy,delikatny
resolve,rozwiązać,skomplikować,zagmatwać,utrudnić
resource,zasób,brak,niedobór,niedostatek
respond,odpowiedzieć,milczeć,ignorować,przemilczeć
responsible,odpowiedzialny,nieodpowiedzialny,lekkomyślny,niefrasobliwy
restrict,ograniczyć,rozszerzyć,powiększyć,zwiększyć
reveal,ujawnić,ukryć,zataić,zamaskować
roughly,mniej więcej,dokładnie,precyzyjnie,ściśle
routine,rutyna,innowacja,nowość,odkrycie
scattered,rozproszony,skupiony,skoncentrowany,zjednoczony
scope,zakres,ograniczenie,zawężenie,redukcja
sensitive,wrażliwy,nieczuły,obojętny,niewrażliwy
severe,surowy,łagodny,pobłażliwy,wyrozumiały
shift,zmiana,stałość,niezmienność,stabilność
shortage,niedobór,nadmiar,obfitość,dostatek
significant,znaczący,nieistotny,nieznaczący,błahy
slight,niewielki,ogromny,gigantyczny,kolosalny
specialize,specjalizować się,być wszechstronnym,generalizować,uogólniać
specific,konkretny,ogólny,ogólnikowy,nieprecyzyjny
spectacular,spektakularny,zwyczajny,banalny,pospolity
stable,stabilny,niestabilny,chwiejny,zmienny
standard,standard,wyjątek,anomalia,osobliwość
straightforward,prostolinijny,skomplikowany,złożony,zawiły
strengthen,wzmocnić,osłabić,nadwyrężyć,nadwątlić
struggle,zmagać się,łatwo sobie radzić,z łatwością pokonywać,bez wysiłku osiągać
substantial,znaczny,nieznaczny,drobny,znikomy
succeed,odnieść sukces,zawieść,przegrać,ponieść porażkę
sufficient,wystarczający,niewystarczający,niedostateczny,za mały
suitable,odpowiedni,nieodpowiedni,niewłaściwy,nieodpowiedni
superior,doskonalszy,gorszy,słabszy,podrzędny
support,wspierać,przeszkadzać,sabotować,utrudniać
supposed,rzekomy,rzeczywisty,faktyczny,realny
sustainable,zrównoważony,szkodliwy,destrukcyjny,niszczycielski
tackle,zmierzyć się,unikać,uciekać,uchylać się
tendency,tendencja,jednorazowość,przypadek,wyjątek
thorough,dokładny,pobieżny,powierzchowny,niedokładny
threat,zagrożenie,bezpieczeństwo,ochrona,asekuracja
thrive,prosperować,podupadać,marnieć,wegetować
tough,trudny,łatwy,prosty,banalny
transparent,przejrzysty,niejasny,mętny,zagmatwany
tremendous,ogromny,mały,niewielki,znikomy
trick,sztuczka,szczerość,prawdomówność,uczciwość
underlying,leżący u podstaw,powierzchowny,zewnętrzny,widoczny
undermine,podważać,wspierać,umacniać,wzmacniać
undertake,podjąć się,zrezygnować,odmówić,wycofać się
undoubtedly,niewątpliwie,wątpliwie,rzekomo,podobno
unexpected,niespodziewany,oczekiwany,przewidywalny,spodziewany
unique,wyjątkowy,powszechny,typowy,przeciętny
unlikely,mało prawdopodobny,prawdopodobny,możliwy,wykonalny
urgent,pilny,nieistotny,drugorzędny,drugorzędny
valuable,cenny,bezwartościowy,mało warty,nieistotny
vague,niejasny,klarowny,jednoznaczny,precyzyjny
valid,ważny,nieważny,nieistotny,bezwartościowy
vast,rozległy,mały,ograniczony,wąski
venture,przedsięwzięcie,bezczynność,bierność,pasywność
verify,sprawdzić,zlekceważyć,pominąć,zaniedbać
vital,kluczowy,nieistotny,drugorzędny,poboczny
vulnerable,wrażliwy,odporny,niezniszczalny,niewzruszony
waste,marnować,oszczędzać,wykorzystywać,szanować
wealth,bogactwo,bieda,ubóstwo,niedostatek
welfare,dobrobyt,nędza,bieda,ubóstwo
widespread,powszechny,rzadki,sporadyczny,wyjątkowy
willing,chętny,niechętny,oporny,przeciwny
withdraw,wycofać,kontynuować,podtrzymywać,utrzymać
withstand,wytrzymać,poddać się,ulec,skapitulować
workforce,siła robocza,bezrobocie,bezczynność,próżniactwo
worthwhile,warty zachodu,bezwartościowy,niewarty wysiłku,niepotrzebny
yield,ustąpić,opierać się,sprzeciwiać się,przeciwstawiać się